"","constructor","aircraft_type","airline"
"2319","British-Aerospace","Avro-RJ85","Cityjet"
"2320","Embraer","ERJ-190","Alitalia-Cityliner"
"2321","Boeing","747-400","Atlas-Air"
"2322","Boeing","747-400","Atlas-Air"
"2323","Boeing","777-300","Cathay-Pacific"
"2324","Boeing","747-8","Cathay-Pacific"
"2325","Boeing","747-400","Kalitta-Air"
"2326","Boeing","747-8","Cathay-Pacific"
"2327","Boeing","777-200","Etihad-Airways"
"2328","Boeing","777-300","Cathay-Pacific"
"2329","Boeing","787-8","Air-India"
"2330","Airbus","A330-300","Cathay-Pacific"
"2331","Airbus","A330-300","Cathay-Pacific"
"2332","Airbus","A320neo","IndiGo"
"2333","Boeing","767-300","Condor"
"2334","Airbus","A320-200","Lufthansa"
"2335","Embraer","ERJ-190","Lufthansa-CityLine"
"2336","Airbus","A319-100","easyJet"
"2337","Airbus","A320neo","Lufthansa"
"2338","Airbus","A321-200","Air-France"
"2339","Boeing","737-800","Ryanair"
"2340","Embraer","ERJ-135","Air-Hamburg"
"2341","Boeing","757-300","Condor"
"2342","Boeing","737-800","Royal-Air-Maroc"
"2343","Beechcraft","200_King-Air","Private"
"2344","Embraer","ERJ-190","BA-CityFlyer"
"2345","Boeing","737-800","Air-Europa"
"2346","Airbus","A321neo","Wizz-Air-Hungary"
"2347","Airbus","A320-200","Aegean-Airlines"
"2348","Boeing","737-800","UTair-Aviation"
"2349","Boeing","737-400","ASL-Airlines-Ireland"
"2350","Airbus","A320-200","Eurowings"
"2351","Airbus","A320-200","Eurowings"
"2352","Boeing","737-300","Lumiwings"
"2353","Airbus","A319-100","Germanwings"
"2354","Embraer","ERJ-195","Air-Dolomiti"
"2355","/photos/reg/NA-104","/photo/search?tag=6451","/photo/search?tag=Eurocopter+AS-365N-2+Dauphin+2"
"2356","Airbus","A320-200","Tigerair-Taiwan"
"2357","Airbus","A320-200","Philippines-AirAsia"
"2358","Airbus","A320-200","Peach"
"2359","Airbus","A320-200","Air-Macau"
"2360","Airbus","A321neo","STARLUX-Airlines"
"2361","/photos/aircraft/Gulfstream-Aerospace/G-V","/photos/reg/N598KZ","/photos/manufacturer/Gulfstream-Aerospace"
"2362","Boeing","737-800","China-Airlines"
"2363","Boeing","777-300","Cathay-Pacific"
"2364","Boeing","787-9","Juneyao-Airlines"
"2365","Embraer","ERJ-175","Air-Canada-Express"
"2366","Airbus","A320-200","Juneyao-Airlines"
"2367","Boeing","737-800","Shanghai-Airlines"
"2368","Airbus","A321-200","China-Eastern-Airlines"
"2369","Boeing","737-800","China-Eastern-Airlines"
"2370","Airbus","A330-200","China-Eastern-Airlines"
"2371","/photo/search?tag=North+American+F-100C+Super+Sabre","/photos/reg/54-2089","Turkish-Air-Force"
"2372","/photo/search?tag=Republic+RF-84F+Thunderflash","/photos/reg/11917","Turkish-Air-Force"
"2373","Boeing","777-200","Turkish-Airlines"
"2374","Boeing","737-800","China-Eastern-Airlines"
"2375","Airbus","A330-200","Malaysia-Airlines"
"2376","Boeing","737-800","Air-China"
"2377","Airbus","A320neo","Chongqing-Airlines"
"2378","Boeing","747-400","China-Airlines"
"2379","Boeing","777-200","Ethiopian-Airlines"
"2380","Boeing","747-400","Air-China"
"2381","Airbus","A330-200","China-Southern-Airlines"
"2382","Airbus","A330-300","Dragonair"
"2383","Boeing","767-300","Japan-Airlines"
"2384","Boeing","777-200","Singapore-Airlines"
"2385","Boeing","777-200","Federal-Express"
"2386","Boeing","737-700","China-Southern-Airlines"
"2387","Boeing","777-300","China-Southern-Airlines"
"2388","Boeing","787-9","Air-New-Zealand"
"2389","Airbus","A380-800","Qantas"
"2390","Boeing","747-400","Qantas"
"2391","Boeing","777-200","Delta-Air-Lines"
"2392","Airbus","A380-800","Asiana-Airlines"
"2393","Airbus","A330-200","Air-Caledonie-International"
"2394","Fokker","F100","MJet"
"2395","Boeing","737-700","Xiamen-Airlines"
"2396","Airbus","A330-300","Thai-Airways-International"
"2397","Boeing","737-700","Ruili-Airlines"
"2398","Airbus","A321-200","Yunnan-Hongtu-Airlines"
"2399","Airbus","A320-200","Shenzhen-Airlines"
"2400","Airbus","A320-200","Juneyao-Airlines"
"2401","Airbus","A320neo","China-Southern-Airlines"
"2402","Sukhoi","Superjet-100","Yamal-Airlines"
"2403","ATR","ATR-42","Sky-Express-%28Greece%29"
"2404","BAC","1-11_Series-500","British-Airways"
"2405",NA,NA,NA
"2406",NA,NA,NA
"2407","Boeing","767-300","Boeing-Capital-Corporation"
"2408","Airbus","A319-100","American-Airlines"
"2409","Airbus","A350-900","Singapore-Airlines"
"2410","Embraer","ERJ-145","Loganair"
"2411","Boeing","737-800","Urumqi-Air"
"2412","Boeing","767-300","Amazon-Prime-Air"
"2413","Boeing","757-200","United-Parcel-Service-%28UPS%29"
"2414","Boeing","757-200","United-Parcel-Service-%28UPS%29"
"2415","Boeing","737-700","Transavia"
"2416","Boeing","787-8","Avianca"
"2417","Boeing","737-800","Norwegian-Air-International"
"2418","Airbus","A320-200","Level"
"2419","Airbus","A320-200","Vueling"
"2420","Boeing","737-800","Transavia"
"2421","Airbus","A320-200","British-Airways"
"2422","Airbus","A320neo","Lufthansa"
"2423",NA,NA,NA
"2424","Airbus","A320-200","Aegean-Airlines"
"2425","Boeing","737-800","SunExpress-Germany"
"2426","Airbus","A320-200","SmartLynx-Estonia"
"2427","Boeing","737-800","Travel-Service"
"2428","Boeing","737-800","Smartwings"
"2429","Airbus","A320-200","Smartwings"
"2430","Airbus","A320-200","Ellinair"
"2431","Airbus","A321-200","Aeroflot-Russian-Airlines"
"2432","Airbus","A320-200","Austrian-Airlines"
"2433","Boeing","737-800","Corendon-Airlines"
"2434","Boeing","737-400","GCA-Airlines"
"2435","Airbus","A321neo","Wizz-Air-Hungary"
"2436","Airbus","A320neo","Vueling"
"2437","Airbus","A320-200","Eurowings"
"2438","Antonov","An-124","Antonov-Design-Bureau"
"2439","Airbus","A320-200","Vueling"
"2440","Airbus","A380-800","Emirates"
"2441","Airbus","A380-800","Emirates"
"2442","Airbus","A330-200","Level"
"2443","Airbus","A350-900","Qatar-Airways"
"2444","Airbus","A321neo","VietJetAir"
"2445","Airbus","A321neo","Sichuan-Airlines"
"2446","Boeing","777-300","KLM-Royal-Dutch-Airlines"
"2447",NA,NA,NA
"2448",NA,NA,NA
"2449","Airbus","A321neo","British-Airways"
"2450","Airbus","A320neo","Lufthansa"
"2451",NA,NA,NA
"2452","/photos/aircraft/Beechcraft/Modell_90_King-Air","/photos/reg/2-MAPZ","/photos/manufacturer/Beechcraft"
"2453","Pilatus","PC-12","Private"
"2454","Boeing","727-200","American-Airlines"
"2455","/photo/search?tag=Beechcraft+C90GTi+King+Air","/photos/reg/D-ISGD","Private"
"2456","/photos/aircraft/Gulfstream-Aerospace/G-VI-Gulfstream","/photos/reg/9H-SSK","/photos/manufacturer/Gulfstream-Aerospace"
"2457","Airbus","A320-200","Condor"
"2458","Boeing","767-300","Federal-Express"
"2459","Boeing","787-9","All-Nippon-Airways"
"2460","Boeing","787-9","Air-Canada"
"2461","Boeing","787-9","United-Airlines"
"2462","Airbus","A330-200","Qantas"
"2463","Boeing","747-400","Qantas"
"2464","Boeing","737-700","Virgin-Australia"
"2465","Boeing","747-8","Atlas-Air"
"2466","Airbus","A330-300","Cathay-Pacific"
"2467","Airbus","A330-300","Hong-Kong-Airlines"
"2468","Airbus","A350-900","Cathay-Pacific"
"2469","Airbus","A330-300","Cathay-Pacific"
"2470","Boeing","747-400","Cathay-Pacific"
"2471","Airbus","A321-200","Air-Macau"
"2472","Airbus","A350-900","Cathay-Pacific"
"2473","Boeing","777-200","Thai-Airways-International"
"2474","Airbus","A330-300","China-Airlines"
"2475","Boeing","747-400","Atlas-Air"
"2476","Boeing","737-800","American-Airlines"
"2477","Boeing","787-9","All-Nippon-Airways"
"2478","Boeing","767-300","Japan-Airlines"
"2479","Airbus","A330-300","Malaysia-Airlines"
